source_dir,mode,active,rps,slo_scale,mix,raw_engine_tok_s,raw_decode_tok_s,goodput_tok_s,goodput_raw_ratio,mean_tpot_ms,overall_attain,tight_attain,normal_attain,loose_attain,tight_mean_tpot_ms,normal_mean_tpot_ms,loose_mean_tpot_ms,tight_n,normal_n,loose_n,engine_elapsed_s,total_output_tokens,attained_output_tokens,file,path
raw,parallel_pearl,64,3.6,,,532.3906215196718,555.1819232581685,290.63921293112145,0.5459134725204441,51.089192603441454,0.515625,0.2532467532467532,0.8235294117647058,1.0,46.87741713288102,45.01532091682002,69.88097453450027,154,51,51,82.22909688949585,43778.0,23899.0,parallel_active64_rps3p6.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps3p6.json
raw,parallel_pearl,64,4,,,585.7720882007412,610.8339009734727,277.54026870495784,0.4738024810254294,54.02777066798961,0.4296875,0.16883116883116883,0.6470588235294118,1.0,50.05133331259239,47.71214215710654,72.35068060497409,154,51,51,74.45045757293701,43611.0,20663.0,parallel_active64_rps4.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps4.json
raw,parallel_pearl,64,6,,mix433,640.6109775553392,655.8592072056979,268.98346619612636,0.4198858209120998,69.02285724789503,0.34375,0.049019607843137254,0.07792207792207792,1.0,56.725475193167654,69.80101521690365,84.53473784488894,102,77,77,70.271977186203,45017.0,18902.0,parallel_active64_rps6_mix433.json,rps6_mix_sweep_active64/raw/parallel_active64_rps6_mix433.json
raw,parallel_pearl,64,6,,mix525252,692.3596781730139,712.3739578620982,271.9026418155744,0.3927187708750835,63.31381832440473,0.3203125,0.0703125,0.140625,1.0,53.65399971660235,64.18581544697771,81.76145841743651,128,64,64,64.86512923240662,44910.0,17637.0,parallel_active64_rps6_mix525252.json,rps6_mix_sweep_active64/raw/parallel_active64_rps6_mix525252.json
raw,parallel_pearl,64,6,,mix71515,726.176816649711,756.9068808974293,225.44825316795016,0.31045917192465344,55.0042171789818,0.26953125,0.1005586592178771,0.3157894736842105,1.0,51.949821200161374,54.70681997467233,69.31288317827959,179,38,39,59.800862550735474,43426.0,13482.0,parallel_active64_rps6_mix71515.json,rps6_mix_sweep_active64/raw/parallel_active64_rps6_mix71515.json
raw,serialized_pearl,64,,0.6,,672.0665474261533,685.2471958562929,36.14153736840365,0.05377672420509054,72.39240327140327,0.041015625,0.0,0.0,0.2,60.19711010127199,75.67385629659996,103.89214115086364,300,107,105,133.69658160209656,89853.0,4832.0,serial_active64_sloscale0p6.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale0p6.json
raw,serialized_pearl,64,,0.8,,677.9075264265558,691.2889234284936,146.56703555822213,0.21620505724551967,71.73065246147205,0.169921875,0.0,0.028037383177570093,0.8,59.88516768304397,73.12976623033265,104.14913113061813,300,107,105,132.19207119941711,89614.0,19375.0,serial_active64_sloscale0p8.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale0p8.json
raw,serialized_pearl,64,,1.0,,661.8252404440682,674.6118188255905,186.88944785748197,0.2823848902046767,73.1189625998274,0.224609375,0.006666666666666667,0.07476635514018691,1.0,60.55312472513972,76.71392651564807,105.35791710852736,300,107,105,135.75940370559692,89849.0,25372.0,serial_active64_sloscale1p0.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale1p0.json
raw,serialized_pearl,64,,1.2,,665.5483400866716,678.4970555015954,266.81056483487066,0.40088833337053326,71.92270530729954,0.34375,0.17666666666666667,0.16822429906542055,1.0,59.81257195180609,73.98569818767218,104.42079834013914,300,107,105,134.63484859466553,89606.0,35922.0,serial_active64_sloscale1p2.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale1p2.json
raw,serialized_pearl,64,,1.4,,661.1035821297276,673.81274440347,386.2670599449203,0.5842761563937852,72.43655518653124,0.552734375,0.4766666666666667,0.32710280373831774,1.0,60.22945374436714,75.14288870778176,104.55610514724951,300,107,105,136.10272645950317,89978.0,52572.0,serial_active64_sloscale1p4.json,rps6_active64_slo_scale_serial/raw/serial_active64_sloscale1p4.json
